topic,average_relevance_score,overall_sentiment_label
Economy - Monetary,0.400056380952381,Bullish
Financial Markets,0.6637453348214286,Bullish
Technology,0.5027321475409836,Bullish
Blockchain,0.24852863636363634,Bullish
Earnings,0.6126467379310344,Bullish
Manufacturing,0.3950275138121547,Bullish
Retail & Wholesale,0.33527104651162787,Bullish
Energy & Transportation,0.3125,Bullish
Real Estate & Construction,0.2525251212121212,Bullish
Finance,0.2938595087719298,Bullish
Economy - Fiscal,0.310843,Bullish
Economy - Macro,0.158519,Bullish
Life Sciences,0.2222221666666667,Bullish
IPO,0.2600683333333333,Bullish
